LAXVEN speed Recorder File: 00022757000.ShortTerm Internal
Data Displayed     From     .86  -  1667Km    TO   19/03/25 07:18:36-127Km
0-Mem freez,1-PowerOn,2-DownLoad,3-MemErase,4-No CFCard,5-ExtMemFail,7-Sensor1Fail,8-Sensor2Fail
,9-ZeroSpeed,A-No Indi/Rec ,B-No Mem ,C-MemFull,D-110% Relay,E-105% Relay,F-OverSpeed,G-<3 Relay,H-CF Inserted,X-Unused
  Time	Distance	Speed	DB	DB	Coas	Coas	EventGn	RunE	StpE	TotE	CumEnry	Curr	Vol	 PF 
 19/03/25 16:12:31	7640.833	56	----	----	----	----	---------	21652.5	306.2	21958.7	116950.7	115	24.3	0.87
 19/03/25 16:12:32	7640.849	56	----	----	----	----	---------	21653.1	306.2	21959.3	116951.3	115	24.4	0.87
 19/03/25 16:12:33	7640.865	57	----	----	----	----	---------	21653.8	306.2	21960	116952	115	24.5	0.87
 19/03/25 16:12:34	7640.881	58	----	----	----	----	---------	21654.5	306.2	21960.7	116952.7	115	24.7	0.87
 19/03/25 16:12:35	7640.898	58	----	----	----	----	---------	21655.2	306.2	21961.4	116953.4	114	24.7	0.88
 19/03/25 16:12:36	7640.914	58	----	----	----	----	---------	21655.9	306.2	21962.1	116954.1	112	24.7	0.87
 19/03/25 16:12:37	7640.93	59	----	----	----	----	---------	21656.5	306.2	21962.7	116954.7	110	24.6	0.87
 19/03/25 16:12:38	7640.947	59	----	----	----	----	---------	21657.2	306.2	21963.4	116955.4	108	24.6	0.87
 19/03/25 16:12:39	7640.964	60	----	----	----	----	---------	21657.8	306.2	21964	116956	108	24.7	0.87
 19/03/25 16:12:40	7640.981	60	----	----	----	----	---------	21658.5	306.2	21964.7	116956.7	108	24.8	0.88
 19/03/25 16:12:41	7640.998	61	----	----	----	----	---------	21659.1	306.2	21965.3	116957.3	107	24.9	0.88
 19/03/25 16:12:42	7641.015	61	----	----	----	----	---------	21659.8	306.2	21966	116958	106	24.8	0.88
 19/03/25 16:12:43	7641.032	61	----	----	----	----	---------	21660.4	306.2	21966.6	116958.6	105	24.8	0.88
 19/03/25 16:12:44	7641.049	62	----	----	----	----	---------	21661	306.2	21967.2	116959.2	104	24.8	0.88
 19/03/25 16:12:45	7641.067	62	----	----	----	----	---------	21661.7	306.2	21967.9	116959.9	104	25	0.88
 19/03/25 16:12:46	7641.084	63	----	----	----	----	---------	21662.3	306.2	21968.5	116960.5	103	25	0.88
 19/03/25 16:12:47	7641.102	63	----	----	----	----	---------	21662.9	306.2	21969.1	116961.1	102	25	0.88
 19/03/25 16:12:48	7641.12	64	----	----	----	----	---------	21663.5	306.2	21969.7	116961.7	100	24.9	0.88
 19/03/25 16:12:49	7641.137	64	----	----	----	----	---------	21664.1	306.2	21970.3	116962.3	98	24.8	0.88
 19/03/25 16:12:50	7641.155	64	----	----	----	----	---------	21664.7	306.2	21970.9	116962.9	97	24.8	0.88
 19/03/25 16:12:51	7641.173	64	----	----	----	----	---------	21665.3	306.2	21971.5	116963.5	97	24.9	0.88
 19/03/25 16:12:52	7641.191	65	----	----	----	----	---------	21665.9	306.2	21972.1	116964.1	98	25	0.88
 19/03/25 16:12:53	7641.21	65	----	----	----	----	---------	21666.5	306.2	21972.7	116964.7	98	25.2	0.88
 19/03/25 16:12:54	7641.228	65	----	----	----	----	---------	21667.1	306.2	21973.3	116965.3	97	25.2	0.88
 19/03/25 16:12:55	7641.246	66	----	----	----	----	---------	21667.7	306.2	21973.9	116965.9	96	25.1	0.88
 19/03/25 16:12:56	7641.265	66	----	----	----	----	---------	21668.3	306.2	21974.5	116966.5	94	24.9	0.88
 19/03/25 16:12:57	7641.283	66	----	----	----	----	---------	21668.8	306.2	21975	116967	93	24.9	0.88
 19/03/25 16:12:58	7641.302	67	----	----	----	----	---------	21669.4	306.2	21975.6	116967.6	92	24.7	0.88
 19/03/25 16:12:59	7641.32	66	----	----	----	----	---------	21669.9	306.2	21976.1	116968.1	91	24.8	0.88
 19/03/25 16:13:00	7641.339	67	----	----	----	----	---------	21670.5	306.2	21976.7	116968.7	91	24.9	0.88
 19/03/25 16:13:01	7641.358	67	----	----	----	----	---------	21671	306.2	21977.2	116969.2	92	25	0.88
 19/03/25 16:13:02	7641.377	68	----	----	----	----	---------	21671.6	306.2	21977.8	116969.8	91	25	0.88
 19/03/25 16:13:03	7641.396	68	----	----	----	----	---------	21672.2	306.2	21978.4	116970.4	90	25	0.88
 19/03/25 16:13:04	7641.415	68	----	----	----	----	---------	21672.7	306.2	21978.9	116970.9	88	24.8	0.88
 19/03/25 16:13:05	7641.434	68	----	----	----	----	---------	21673.2	306.2	21979.4	116971.4	88	24.7	0.88
 19/03/25 16:13:06	7641.453	69	----	----	----	----	---------	21673.8	306.2	21980	116972	88	24.7	0.88
 19/03/25 16:13:07	7641.472	69	----	----	----	----	---------	21674.3	306.2	21980.5	116972.5	86	24.7	0.88
 19/03/25 16:13:08	7641.492	69	----	----	----	----	---------	21674.8	306.2	21981	116973	85	24.7	0.88
 19/03/25 16:13:09	7641.511	69	----	----	----	----	---------	21675.5	306.2	21981.7	116973.7	118	24.6	0.9
 19/03/25 16:13:10	7641.531	70	----	----	----	----	---------	21676.3	306.2	21982.5	116974.5	131	24.6	0.9
 19/03/25 16:13:11	7641.55	70	----	----	----	----	---------	21677.1	306.2	21983.3	116975.3	127	24.6	0.88
 19/03/25 16:13:12	7641.57	71	----	----	----	----	---------	21677.8	306.2	21984	116976	121	24.2	0.88
 19/03/25 16:13:13	7641.59	71	----	----	----	----	---------	21678.5	306.2	21984.7	116976.7	123	24.4	0.88
 19/03/25 16:13:14	7641.61	72	----	----	----	----	---------	21679.3	306.2	21985.5	116977.5	122	24.4	0.89
 19/03/25 16:13:15	7641.63	72	----	----	----	----	---------	21680	306.2	21986.2	116978.2	121	24.5	0.88
 19/03/25 16:13:16	7641.65	72	----	----	----	----	---------	21680.7	306.2	21986.9	116978.9	120	24.5	0.88
 19/03/25 16:13:17	7641.671	73	----	----	----	----	---------	21681.4	306.2	21987.6	116979.6	121	24.6	0.88
 19/03/25 16:13:18	7641.691	73	----	----	----	----	---------	21682.2	306.2	21988.4	116980.4	119	24.6	0.88
 19/03/25 16:13:19	7641.711	73	----	----	----	----	---------	21682.9	306.2	21989.1	116981.1	117	24.5	0.88
 19/03/25 16:13:20	7641.732	74	----	----	----	----	---------	21683.6	306.2	21989.8	116981.8	118	24.7	0.88
 19/03/25 16:13:21	7641.753	74	----	----	----	----	---------	21684.3	306.2	21990.5	116982.5	117	24.8	0.88
 19/03/25 16:13:22	7641.773	74	----	----	----	----	---------	21685	306.2	21991.2	116983.2	118	24.9	0.88
 19/03/25 16:13:23	7641.794	75	----	----	----	----	---------	21685.7	306.2	21991.9	116983.9	116	24.8	0.88
 19/03/25 16:13:24	7641.815	75	----	----	----	----	---------	21686.4	306.2	21992.6	116984.6	116	24.9	0.88
 19/03/25 16:13:25	7641.837	75	----	----	----	----	---------	21687.1	306.2	21993.3	116985.3	116	25.1	0.88
 19/03/25 16:13:26	7641.858	76	----	----	----	----	---------	21687.8	306.2	21994	116986	116	25.2	0.88
 19/03/25 16:13:27	7641.879	76	----	----	----	----	---------	21688.5	306.2	21994.7	116986.7	114	25.1	0.88
 19/03/25 16:13:28	7641.9	76	----	----	----	----	---------	21689.2	306.2	21995.4	116987.4	115	25.3	0.88
 19/03/25 16:13:29	7641.922	77	----	----	----	----	---------	21689.9	306.2	21996.1	116988.1	115	25.4	0.88
 19/03/25 16:13:30	7641.943	77	----	----	----	----	---------	21690.7	306.2	21996.9	116988.9	115	25.5	0.88
 19/03/25 16:13:31	7641.965	78	----	----	----	----	---------	21691.4	306.2	21997.6	116989.6	114	25.5	0.88
 19/03/25 16:13:32	7641.987	78	----	----	----	----	---------	21692.1	306.2	21998.3	116990.3	112	25.4	0.88
 19/03/25 16:13:33	7642.009	78	----	----	----	----	---------	21692.8	306.2	21999	116991	112	25.5	0.88
 19/03/25 16:13:34	7642.03	78	----	----	----	----	---------	21693.5	306.2	21999.7	116991.7	112	25.5	0.88
 19/03/25 16:13:35	7642.053	79	----	----	----	----	---------	21694.2	306.2	22000.4	116992.4	111	25.5	0.88
 19/03/25 16:13:36	7642.075	79	----	----	----	----	---------	21694.8	306.2	22001	116993	110	25.4	0.88
 19/03/25 16:13:37	7642.097	79	----	----	----	----	---------	21695.5	306.2	22001.7	116993.7	109	25.4	0.88
 19/03/25 16:13:38	7642.119	80	----	----	----	----	---------	21696.2	306.2	22002.4	116994.4	108	25.4	0.88
 19/03/25 16:13:39	7642.141	80	----	----	----	----	---------	21696.8	306.2	22003	116995	106	25.3	0.88
 19/03/25 16:13:40	7642.164	80	----	----	----	----	---------	21697.5	306.2	22003.7	116995.7	106	25.3	0.88
 19/03/25 16:13:41	7642.186	80	----	----	----	----	---------	21698.1	306.2	22004.3	116996.3	105	25.3	0.88
 19/03/25 16:13:42	7642.209	81	----	----	----	----	---------	21699	306.2	22005.2	116997.2	130	25.3	0.89
 19/03/25 16:13:43	7642.231	81	----	----	----	----	---------	21699.8	306.2	22006	116998	129	25.3	0.89
 19/03/25 16:13:44	7642.254	81	----	----	----	----	---------	21700.6	306.2	22006.8	116998.8	129	25.3	0.88
 19/03/25 16:13:45	7642.277	81	----	----	----	----	---------	21701.4	306.2	22007.6	116999.6	128	25.3	0.88
 19/03/25 16:13:46	7642.3	82	----	----	----	----	---------	21702.2	306.2	22008.4	117000.4	128	25.4	0.88
 19/03/25 16:13:47	7642.323	82	----	----	----	----	---------	21702.9	306.2	22009.1	117001.1	127	25.4	0.88
 19/03/25 16:13:48	7642.345	82	----	----	----	----	---------	21703.7	306.2	22009.9	117001.9	126	25.4	0.88
 19/03/25 16:13:49	7642.369	83	----	----	----	----	---------	21704.5	306.2	22010.7	117002.7	124	25.3	0.88
 19/03/25 16:13:50	7642.392	83	----	----	----	----	---------	21705.2	306.2	22011.4	117003.4	122	25.2	0.88
 19/03/25 16:13:51	7642.415	83	----	----	----	----	---------	21706	306.2	22012.2	117004.2	121	25.1	0.88
 19/03/25 16:13:52	7642.439	84	----	----	----	----	---------	21706.7	306.2	22012.9	117004.9	121	25.2	0.88
 19/03/25 16:13:53	7642.462	84	----	----	----	----	---------	21707.5	306.2	22013.7	117005.7	121	25.3	0.88
 19/03/25 16:13:54	7642.486	85	----	----	----	----	---------	21708.2	306.2	22014.4	117006.4	120	25.3	0.88
 19/03/25 16:13:55	7642.51	85	----	----	----	----	---------	21709	306.2	22015.2	117007.2	120	25.4	0.88
 19/03/25 16:13:56	7642.533	85	----	----	----	----	---------	21709.7	306.2	22015.9	117007.9	120	25.4	0.88
 19/03/25 16:13:57	7642.557	85	----	----	----	----	---------	21710.5	306.2	22016.7	117008.7	120	25.5	0.88
 19/03/25 16:13:58	7642.581	86	----	----	----	----	---------	21711.2	306.2	22017.4	117009.4	119	25.5	0.88
 19/03/25 16:13:59	7642.605	86	----	----	----	----	---------	21711.9	306.2	22018.1	117010.1	120	25.6	0.88
 19/03/25 16:14:00	7642.63	87	----	----	----	----	---------	21712.7	306.2	22018.9	117010.9	119	25.6	0.88
 19/03/25 16:14:01	7642.654	87	----	----	----	----	---------	21713.4	306.2	22019.6	117011.6	117	25.5	0.88
 19/03/25 16:14:02	7642.678	87	----	----	----	----	---------	21714.1	306.2	22020.3	117012.3	117	25.5	0.88
 19/03/25 16:14:03	7642.703	87	----	----	----	----	---------	21714.9	306.2	22021.1	117013.1	117	25.5	0.88
 19/03/25 16:14:04	7642.727	87	----	----	----	----	---------	21715.6	306.2	22021.8	117013.8	116	25.5	0.88
 19/03/25 16:14:05	7642.752	88	----	----	----	----	---------	21716.3	306.2	22022.5	117014.5	116	25.5	0.88
 19/03/25 16:14:06	7642.776	88	----	----	----	----	---------	21717	306.2	22023.2	117015.2	115	25.4	0.88
 19/03/25 16:14:07	7642.801	89	----	----	----	----	---------	21717.7	306.2	22023.9	117015.9	114	25.5	0.88
 19/03/25 16:14:08	7642.826	89	----	----	----	----	---------	21718.5	306.2	22024.7	117016.7	114	25.5	0.88
 19/03/25 16:14:09	7642.851	89	----	----	----	----	---------	21719.2	306.2	22025.4	117017.4	113	25.4	0.88
 19/03/25 16:14:10	7642.876	89	----	----	----	----	---------	21719.9	306.2	22026.1	117018.1	113	25.5	0.88
 19/03/25 16:14:11	7642.901	90	----	----	----	----	---------	21720.6	306.2	22026.8	117018.8	112	25.4	0.88
 19/03/25 16:14:12	7642.926	90	----	----	----	----	---------	21721.3	306.2	22027.5	117019.5	111	25.4	0.88
 19/03/25 16:14:13	7642.951	90	----	----	----	----	---------	21721.9	306.2	22028.1	117020.1	110	25.3	0.88
 19/03/25 16:14:14	7642.976	90	----	----	----	----	---------	21722.6	306.2	22028.8	117020.8	110	25.3	0.88
 19/03/25 16:14:15	7643.002	91	----	----	----	----	---------	21723.3	306.2	22029.5	117021.5	108	25.2	0.88
 19/03/25 16:14:16	7643.027	91	----	----	----	----	---------	21723.9	306.2	22030.1	117022.1	107	25.2	0.88
 19/03/25 16:14:17	7643.052	91	----	----	----	----	---------	21724.6	306.2	22030.8	117022.8	107	25.2	0.88
 19/03/25 16:14:18	7643.078	91	----	----	----	----	---------	21725.2	306.2	22031.4	117023.4	106	25.2	0.88
 19/03/25 16:14:19	7643.103	91	----	----	----	----	---------	21725.9	306.2	22032.1	117024.1	107	25.3	0.88
 19/03/25 16:14:20	7643.129	91	----	----	----	----	---------	21726.6	306.2	22032.8	117024.8	106	25.2	0.88
 19/03/25 16:14:21	7643.155	92	----	----	----	----	---------	21727.2	306.2	22033.4	117025.4	105	25.2	0.88
 19/03/25 16:14:22	7643.18	92	----	----	----	----	---------	21727.9	306.2	22034.1	117026.1	106	25.3	0.88
 19/03/25 16:14:23	7643.206	92	----	----	----	----	---------	21728.5	306.2	22034.7	117026.7	106	25.4	0.88
 19/03/25 16:14:24	7643.232	92	----	----	----	----	---------	21729.2	306.2	22035.4	117027.4	106	25.5	0.88
 19/03/25 16:14:25	7643.258	93	----	----	----	----	---------	21729.8	306.2	22036	117028	105	25.5	0.88
 19/03/25 16:14:26	7643.284	93	----	----	----	----	---------	21730.5	306.2	22036.7	117028.7	104	25.4	0.88
 19/03/25 16:14:27	7643.31	94	----	----	----	----	---------	21731.1	306.2	22037.3	117029.3	104	25.4	0.88
 19/03/25 16:14:28	7643.336	94	----	----	----	----	---------	21731.8	306.2	22038	117030	105	25.6	0.88
 19/03/25 16:14:29	7643.363	94	----	----	----	----	---------	21732.4	306.2	22038.6	117030.6	104	25.7	0.88
 19/03/25 16:14:30	7643.389	94	----	----	----	----	---------	21732.9	306.2	22039.1	117031.1	73	25.8	0.87
 19/03/25 16:14:31	7643.415	94	----	----	----	----	---------	21733.2	306.2	22039.4	117031.4	47	25.9	0.85
 19/03/25 16:14:32	7643.441	94	----	----	----	----	---------	21733.4	306.2	22039.6	117031.6	36	25.9	0.84
 19/03/25 16:14:33	7643.468	94	----	----	----	----	---------	21733.5	306.2	22039.7	117031.7	22	26.1	0.85
 19/03/25 16:14:34	7643.494	94	----	----	----	----	---------	21733.6	306.2	22039.8	117031.8	14	26.2	0.82
 19/03/25 16:14:35	7643.52	94	----	----	----	----	---------	21733.7	306.2	22039.9	117031.9	11	26.2	0.78
 19/03/25 16:14:36	7643.547	94	----	----	----	----	---------	21733.7	306.2	22039.9	117031.9	6	26.3	0.75
 19/03/25 16:14:37	7643.573	94	----	----	----	----	---------	21733.7	306.2	22039.9	117031.9	5	26.3	0.69
 19/03/25 16:14:38	7643.599	94	----	----	0	0	---------	21733.8	306.2	22040	117032	4	26.4	0.62
 19/03/25 16:14:39	7643.625	94	----	----	0.03	1	---------	21733.8	306.2	22040	117032	4	26.3	0.53
 19/03/25 16:14:40	7643.651	94	----	----	0.05	2	---------	21733.8	306.2	22040	117032	4	26.3	0.54
 19/03/25 16:14:41	7643.677	94	----	----	0.08	3	---------	21733.8	306.2	22040	117032	4	26.3	0.53
 19/03/25 16:14:42	7643.704	94	----	----	0.1	4	---------	21733.8	306.2	22040	117032	4	26.2	0.55
 19/03/25 16:14:43	7643.73	93	----	----	0.13	5	---------	21733.8	306.2	22040	117032	4	26.2	0.53
 19/03/25 16:14:44	7643.756	94	----	----	0.16	6	---------	21733.8	306.2	22040	117032	4	26.2	0.52
 19/03/25 16:14:45	7643.782	93	----	----	0.18	7	---------	21733.9	306.2	22040.1	117032.1	4	26.3	0.52
 19/03/25 16:14:46	7643.808	93	----	----	0.21	8	---------	21733.9	306.2	22040.1	117032.1	4	26.4	0.52
 19/03/25 16:14:47	7643.834	93	----	----	0.23	9	---------	21733.9	306.2	22040.1	117032.1	4	26.4	0.51
 19/03/25 16:14:48	7643.859	93	----	----	0.26	10	---------	21733.9	306.2	22040.1	117032.1	4	26.2	0.52
 19/03/25 16:14:49	7643.885	93	----	----	0.29	11	---------	21733.9	306.2	22040.1	117032.1	4	26	0.52
 19/03/25 16:14:50	7643.911	92	----	----	0.31	12	---------	21733.9	306.2	22040.1	117032.1	4	26.1	0.53
 19/03/25 16:14:51	7643.937	93	----	----	0.34	13	---------	21734	306.2	22040.2	117032.2	4	26.1	0.53
 19/03/25 16:14:52	7643.963	92	----	----	0.36	14	---------	21734	306.2	22040.2	117032.2	4	26.2	0.53
 19/03/25 16:14:53	7643.988	92	----	----	0.39	15	---------	21734	306.2	22040.2	117032.2	4	26	0.53
 19/03/25 16:14:54	7644.014	92	----	----	0.41	16	---------	21734	306.2	22040.2	117032.2	4	26.2	0.53
 19/03/25 16:14:55	7644.04	92	----	----	0.44	17	---------	21734	306.2	22040.2	117032.2	4	26.1	0.52
 19/03/25 16:14:56	7644.066	92	----	----	0.47	18	---------	21734	306.2	22040.2	117032.2	4	26.3	0.53
 19/03/25 16:14:57	7644.091	92	----	----	0.49	19	---------	21734	306.2	22040.2	117032.2	4	26.3	0.53
 19/03/25 16:14:58	7644.117	92	----	----	0.52	20	---------	21734.1	306.2	22040.3	117032.3	4	26.3	0.53
 19/03/25 16:14:59	7644.142	91	----	----	0.54	21	---------	21734.1	306.2	22040.3	117032.3	4	26.3	0.52
 19/03/25 16:15:00	7644.168	91	----	----	0.57	22	---------	21734.1	306.2	22040.3	117032.3	4	26.5	0.52
 19/03/25 16:15:01	7644.194	91	----	----	0.6	23	---------	21734.1	306.2	22040.3	117032.3	4	26.5	0.52
 19/03/25 16:15:02	7644.219	91	----	----	0.62	24	---------	21734.1	306.2	22040.3	117032.3	4	26.6	0.52
 19/03/25 16:15:03	7644.245	91	----	----	0.65	25	---------	21734.1	306.2	22040.3	117032.3	4	26.6	0.52
 19/03/25 16:15:04	7644.27	91	----	----	0.67	26	---------	21734.1	306.2	22040.3	117032.3	4	26.6	0.52
 19/03/25 16:15:05	7644.295	91	----	----	0.7	27	---------	21734.2	306.2	22040.4	117032.4	4	26.7	0.52
 19/03/25 16:15:06	7644.321	91	----	----	0.72	28	---------	21734.2	306.2	22040.4	117032.4	4	26.5	0.51
 19/03/25 16:15:07	7644.346	91	----	----	0.75	29	---------	21734.2	306.2	22040.4	117032.4	4	26.5	0.52
 19/03/25 16:15:08	7644.372	91	----	----	0.77	30	---------	21734.2	306.2	22040.4	117032.4	4	26.4	0.52
 19/03/25 16:15:09	7644.397	91	----	----	0.8	31	---------	21734.2	306.2	22040.4	117032.4	4	26.4	0.52
 19/03/25 16:15:10	7644.422	90	----	----	0.82	32	---------	21734.2	306.2	22040.4	117032.4	4	26.4	0.53
 19/03/25 16:15:11	7644.447	91	----	----	0.85	33	---------	21734.3	306.2	22040.5	117032.5	4	26.3	0.52
 19/03/25 16:15:12	7644.473	90	----	----	0.87	34	---------	21734.3	306.2	22040.5	117032.5	4	26.3	0.52
 19/03/25 16:15:13	7644.498	90	----	----	0.9	35	---------	21734.3	306.2	22040.5	117032.5	4	26.2	0.53
 19/03/25 16:15:14	7644.523	90	----	----	0.92	36	---------	21734.3	306.2	22040.5	117032.5	4	26.2	0.52
 19/03/25 16:15:15	7644.548	90	----	----	0.95	37	---------	21734.3	306.2	22040.5	117032.5	4	26.3	0.53
 19/03/25 16:15:16	7644.573	90	----	----	0.97	38	---------	21734.3	306.2	22040.5	117032.5	4	26.4	0.53
 19/03/25 16:15:17	7644.598	89	----	----	1	39	---------	21734.3	306.2	22040.5	117032.5	4	26.5	0.53
 19/03/25 16:15:18	7644.623	89	----	----	1.02	40	---------	21734.4	306.2	22040.6	117032.6	4	26.5	0.54
 19/03/25 16:15:19	7644.648	89	----	----	1.05	41	---------	21734.4	306.2	22040.6	117032.6	4	26.5	0.53
 19/03/25 16:15:20	7644.673	89	----	----	1.07	42	---------	21734.4	306.2	22040.6	117032.6	4	26.3	0.56
 19/03/25 16:15:21	7644.698	89	----	----	1.1	43	---------	21734.4	306.2	22040.6	117032.6	5	26.1	0.56
 19/03/25 16:15:22	7644.723	89	----	----	1.12	44	---------	21734.4	306.2	22040.6	117032.6	4	25.8	0.57
 19/03/25 16:15:23	7644.747	89	----	----	1.15	45	---------	21734.5	306.2	22040.7	117032.7	6	25.9	0.57
 19/03/25 16:15:24	7644.772	89	----	----	1.17	46	---------	21734.5	306.2	22040.7	117032.7	5	25.8	0.6
 19/03/25 16:15:25	7644.797	88	----	----	1.2	47	---------	21734.5	306.2	22040.7	117032.7	5	25.9	0.6
 19/03/25 16:15:26	7644.822	88	----	----	1.22	48	---------	21734.5	306.2	22040.7	117032.7	5	25.8	0.59
 19/03/25 16:15:27	7644.846	88	----	----	1.25	49	---------	21734.5	306.2	22040.7	117032.7	5	25.8	0.6
 19/03/25 16:15:28	7644.871	88	----	----	1.27	50	---------	21734.6	306.2	22040.8	117032.8	5	25.8	0.61
 19/03/25 16:15:29	7644.895	88	----	----	1.3	51	---------	21734.6	306.2	22040.8	117032.8	5	25.9	0.59
 19/03/25 16:15:30	7644.92	87	----	----	1.32	52	---------	21734.6	306.2	22040.8	117032.8	5	26	0.61
 19/03/25 16:15:31	7644.944	87	----	----	1.35	53	---------	21734.6	306.2	22040.8	117032.8	5	25.9	0.61
 19/03/25 16:15:32	7644.968	87	----	----	1.37	54	---------	21734.6	306.2	22040.8	117032.8	5	25.9	0.59
 19/03/25 16:15:33	7644.993	87	----	----	1.39	55	---------	21734.7	306.2	22040.9	117032.9	5	25.8	0.61
 19/03/25 16:15:34	7645.017	87	----	----	1.42	56	---------	21734.7	306.2	22040.9	117032.9	5	25.8	0.6
 19/03/25 16:15:35	7645.041	87	----	----	1.44	57	---------	21734.7	306.2	22040.9	117032.9	5	25.8	0.6
 19/03/25 16:15:36	7645.065	87	----	----	1.47	58	---------	21734.7	306.2	22040.9	117032.9	5	25.8	0.63
 19/03/25 16:15:37	7645.09	87	----	----	1.49	59	---------	21734.8	306.2	22041	117033	5	25.7	0.6
 19/03/25 16:15:38	7645.114	86	----	----	1.51	60	---------	21734.8	306.2	22041	117033	5	25.8	0.62
 19/03/25 16:15:39	7645.138	86	----	----	1.54	61	---------	21734.8	306.2	22041	117033	5	25.9	0.62
 19/03/25 16:15:40	7645.162	86	----	----	1.56	62	---------	21734.8	306.2	22041	117033	5	25.8	0.58
 19/03/25 16:15:41	7645.186	85	----	----	1.59	63	---------	21734.8	306.2	22041	117033	5	25.9	0.61
 19/03/25 16:15:42	7645.209	85	----	----	1.61	64	---------	21734.9	306.2	22041.1	117033.1	5	25.9	0.62
 19/03/25 16:15:43	7645.233	84	----	----	1.63	65	---------	21734.9	306.2	22041.1	117033.1	5	25.7	0.6
 19/03/25 16:15:44	7645.256	83	----	----	1.66	66	---------	21734.9	306.2	22041.1	117033.1	5	25.8	0.62
 19/03/25 16:15:45	7645.279	83	----	----	1.68	67	---------	21734.9	306.2	22041.1	117033.1	5	25.8	0.62
 19/03/25 16:15:46	7645.302	82	----	----	1.7	68	---------	21735	306.2	22041.2	117033.2	5	25.8	0.61
 19/03/25 16:15:47	7645.325	81	----	----	1.73	69	---------	21735	306.2	22041.2	117033.2	5	25.6	0.63
 19/03/25 16:15:48	7645.347	80	----	----	1.75	70	---------	21735	306.2	22041.2	117033.2	5	25.6	0.62
 19/03/25 16:15:49	7645.369	79	----	----	1.77	71	---------	21735	306.2	22041.2	117033.2	5	25.4	0.61
 19/03/25 16:15:50	7645.391	79	----	----	1.79	72	---------	21735	306.2	22041.2	117033.2	5	25.5	0.63
 19/03/25 16:15:51	7645.413	79	----	----	1.81	73	---------	21735.1	306.2	22041.3	117033.3	5	25.7	0.62
 19/03/25 16:15:52	7645.435	78	----	----	1.84	74	---------	21735.1	306.2	22041.3	117033.3	5	25.9	0.61
 19/03/25 16:15:53	7645.457	78	----	----	1.86	75	---------	21735.1	306.2	22041.3	117033.3	5	26	0.62
 19/03/25 16:15:54	7645.479	78	----	----	1.88	76	---------	21735.1	306.2	22041.3	117033.3	5	26	0.61
 19/03/25 16:15:55	7645.5	77	----	----	1.9	77	---------	21735.1	306.2	22041.3	117033.3	5	26	0.6
 19/03/25 16:15:56	7645.522	77	----	----	1.92	78	---------	21735.2	306.2	22041.4	117033.4	5	25.8	0.62
 19/03/25 16:15:57	7645.543	77	----	----	1.94	79	---------	21735.2	306.2	22041.4	117033.4	5	25.7	0.61
 19/03/25 16:15:58	7645.565	77	----	----	1.97	80	---------	21735.2	306.2	22041.4	117033.4	4	25.7	0.57
 19/03/25 16:15:59	7645.586	76	----	----	1.99	81	---------	21735.2	306.2	22041.4	117033.4	4	25.6	0.56
 19/03/25 16:16:00	7645.608	77	----	----	2.01	82	---------	21735.2	306.2	22041.4	117033.4	4	25.5	0.57
 19/03/25 16:16:01	7645.629	76	----	----	2.03	83	---------	21735.3	306.2	22041.5	117033.5	4	25.6	0.57
 19/03/25 16:16:02	7645.651	76	----	----	2.05	84	---------	21735.3	306.2	22041.5	117033.5	4	25.6	0.55
 19/03/25 16:16:03	7645.672	76	----	----	2.07	85	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:04	7645.693	76	----	----	2.09	86	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:05	7645.715	76	----	----	2.12	87	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:06	7645.736	76	----	----	2.14	88	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:07	7645.757	76	----	----	2.16	89	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:08	7645.778	75	----	----	2.18	90	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:09	7645.799	76	----	----	2.2	91	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:10	7645.821	75	----	----	2.22	92	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:11	7645.842	76	----	----	2.24	93	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:12	7645.863	75	----	----	2.26	94	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:13	7645.884	75	----	----	2.28	95	---------	21735.3	306.2	22041.5	117033.5	0	0	1.00
 19/03/25 16:16:14	7645.905	75	----	----	2.31	96	---------	21735.3	306.2	22041.5	117033.5	31	24.8	0.21
 19/03/25 16:16:15	7645.925	74	----	----	2.33	97	---------	21735.3	306.2	22041.5	117033.5	16	26	0.2
 19/03/25 16:16:16	7645.946	74	----	----	2.35	98	---------	21735.4	306.2	22041.6	117033.6	10	26.6	0.16
 19/03/25 16:16:17	7645.967	74	----	----	2.37	99	---------	21735.4	306.2	22041.6	117033.6	6	26.9	0.15
 19/03/25 16:16:18	7645.988	74	----	----	2.39	100	---------	21735.4	306.2	22041.6	117033.6	5	27	0.18
